Actual_FutureSalary_PerformanceBased,Predicted_FutureSalary_PerformanceBased
7616.73,7281.1784136972265
10166.6,6707.997998626992
2614.27,3902.1829717411733
7053.28,6205.253811964983
6681.38,6660.714349013436
6686.55,4863.860688938423
10807.88,7101.8264660877085
2129.01,4455.51316233091
3132.08,3814.0491668683853
14481.16,12194.211368534545
6266.21,5682.839200738007
5843.24,6471.360179273084
2424.81,3453.9423752400166
4914.2,5457.6503746207845
5635.64,5173.452648089916
11088.92,9543.80852960861
3565.35,3659.985762062892
5200.73,4673.181419933563
4230.45,5615.097234373423
19258.43,20400.87205288634
11118.95,8270.876828525263
4425.65,4551.064407401042
3320.07,4604.030349911305
7180.8,6405.021631033315
3870.95,3535.8774586300806
14423.58,11623.538056997691
20371.66,21013.354666046147
2796.79,4170.951254795508
4615.48,5868.996839280376
5555.54,5914.458803683492
20229.88,23647.208850561325
9729.66,7107.066993818943
4463.15,5485.971839409468
2882.91,4420.1475075468
5828.86,4861.346675884299
5198.91,5435.06808866798
5456.46,6189.156582251514
7178.15,5263.088543285501
20126.63,16780.9017228175
20133.39,23618.693815166924
6571.16,5126.21965388312
7295.52,5995.075938218954
5880.74,4566.530235996346
2345.58,4064.5725110042013
2684.14,2897.559389602869
3929.94,2687.9237636728326
19909.79,18732.12218644302
6661.82,6898.55100689495
4005.87,4039.6351400884237
1357.53,1818.7536739203333
5383.44,5828.987782211877
10563.53,7287.2561851737955
8181.77,6086.799547461653
20092.26,20687.90951246914
9090.04,6970.6536037174
4523.05,4213.150495991572
5100.88,5365.455042703665
3034.11,3932.7320758879287
20746.71,19867.465838154396
5189.46,4336.3717884082
6676.09,6101.319133643229
7684.47,7049.814671801221
5519.69,5872.959491021538
3583.46,3539.873998072872
5155.51,5702.940582069872
6718.31,5509.162832425373
9459.89,8156.248860146616
4473.37,4520.888073103216
4969.96,5134.366018380437
2496.57,3764.9159091274087
10178.84,5939.911664535424
14962.17,10136.145466014685
3246.8,3265.269088296308
5135.66,5288.315716818614
2524.84,3230.201193974182
4681.28,5531.849754097547
6692.68,5250.172803007881
5423.79,5374.502623187255
17155.01,17049.27761909956
4816.32,3817.529111844483
5159.37,5078.545974160028
